"filename", "language", "PHP", "JSON", "XML", "JavaScript", "Markdown", "PostCSS", "comment", "blank", "total"
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\README.md", "Markdown", 0, 0, 0, 0, 39, 0, 0, 21, 60
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 28, 0, 0, 0, 0, 0, 9, 11, 48
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 28, 0, 0, 0, 0, 0, 6, 7, 41
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 16, 0, 0, 0, 0, 0, 3, 6, 25
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 15, 0, 0, 0, 0, 0, 3, 4, 22
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 42, 0, 0, 0, 0, 0, 14, 8, 64
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\PasswordController.php", "PHP", 21, 0, 0, 0, 0, 0, 3, 6, 30
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 28, 0, 0, 0, 0, 0, 11, 7, 46
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 35, 0, 0, 0, 0, 0, 8, 9, 52
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 19, 0, 0, 0, 0, 0, 3, 6, 28
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Controller.php", "PHP", 5, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\ProfileController.php", "PHP", 38, 0, 0, 0, 0, 0, 9, 14, 61
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\TareaController.php", "PHP", 69, 0, 0, 0, 0, 0, 21, 21, 111
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Requests\Auth\LoginRequest.php", "PHP", 52, 0, 0, 0, 0, 0, 21, 14, 87
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 23, 0, 0, 0, 0, 0, 5, 4, 32
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Models\Tarea.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Models\User.php", "PHP", 31, 0, 0, 0, 0, 0, 20, 7, 58
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 8, 5, 25
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\View\Components\AppLayout.php", "PHP", 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\View\Components\GuestLayout.php", "PHP", 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\bootstrap\app.php", "PHP", 14, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\bootstrap\providers.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\composer.json", "JSON", 0, 88, 0, 0, 0, 0, 0, 1, 89
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\composer.lock", "JSON", 0, 9479, 0, 0, 0, 0, 0, 1, 9480
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\config\app.php", "PHP", 22, 0, 0, 0, 0, 0, 82, 23, 127
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\config\auth.php", "PHP", 29, 0, 0, 0, 0, 0, 74, 15, 118
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\config\cache.php", "PHP", 64, 0, 0, 0, 0, 0, 35, 19, 118
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\config\database.php", "PHP", 119, 0, 0, 0, 0, 0, 43, 23, 185
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\config\filesystems.php", "PHP", 36, 0, 0, 0, 0, 0, 32, 13, 81
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\config\logging.php", "PHP", 79, 0, 0, 0, 0, 0, 33, 21, 133
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\config\mail.php", "PHP", 57, 0, 0, 0, 0, 0, 43, 19, 119
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\config\queue.php", "PHP", 65, 0, 0, 0, 0, 0, 45, 20, 130
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\config\services.php", "PHP", 20, 0, 0, 0, 0, 0, 11, 8, 39
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\config\session.php", "PHP", 23, 0, 0, 0, 0, 0, 160, 35, 218
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\database\factories\TareaFactory.php", "PHP", 18, 0, 0, 0, 0, 0, 3, 3, 24
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\database\factories\UserFactory.php", "PHP", 26, 0, 0, 0, 0, 0, 14, 6, 46
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 38, 0, 0, 0, 0, 0, 6, 6, 50
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 25, 0, 0, 0, 0, 0, 6, 5, 36
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 46, 0, 0, 0, 0, 0, 6, 6, 58
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\database\migrations\2026_07_05_044121_create_tareas_table.php", "PHP", 34, 0, 0, 0, 0, 0, 6, 9, 49
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\database\seeders\DatabaseSeeder.php", "PHP", 16, 0, 0, 0, 0, 0, 4, 6, 26
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\package-lock.json", "JSON", 0, 3536, 0, 0, 0, 0, 0, 1, 3537
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\package.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\phpunit.xml", "XML", 0, 0, 36, 0, 0, 0, 0, 1, 37
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\public\index.php", "PHP", 10, 0, 0, 0, 0, 0, 4, 7, 21
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\css\app.css", "PostCSS", 0, 0, 0, 0, 0, 29, 0, 3, 32
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\js\app.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 4, 8
