Date : 2026-07-11 11:37:02
Directory : c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas
Total : 98 files,  16270 codes, 814 comments, 867 blanks, all 17951 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     13,124 |          0 |          4 |     13,128 |
| PHP        |         86 |      2,987 |        813 |        826 |      4,626 |
| JavaScript |          5 |         55 |          1 |         12 |         68 |
| Markdown   |          1 |         39 |          0 |         21 |         60 |
| XML        |          1 |         36 |          0 |          1 |         37 |
| PostCSS    |          1 |         29 |          0 |          3 |         32 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |         98 |     16,270 |        814 |        867 |     17,951 |
| . (Files)                                                                                                                         |          9 |     13,247 |          1 |         32 |     13,280 |
| app                                                                                                                               |         19 |        509 |        151 |        147 |        807 |
| app\Http                                                                                                                          |         14 |        419 |        117 |        120 |        656 |
| app\Http\Controllers                                                                                                              |         12 |        344 |         91 |        102 |        537 |
| app\Http\Controllers (Files)                                                                                                      |          3 |        112 |         31 |         38 |        181 |
| app\Http\Controllers\Auth                                                                                                         |          9 |        232 |         60 |         64 |        356 |
| app\Http\Requests                                                                                                                 |          2 |         75 |         26 |         18 |        119 |
| app\Http\Requests (Files)                                                                                                         |          1 |         23 |          5 |          4 |         32 |
| app\Http\Requests\Auth                                                                                                            |          1 |         52 |         21 |         14 |         87 |
| app\Models                                                                                                                        |          2 |         56 |         20 |         14 |         90 |
| app\Providers                                                                                                                     |          1 |         12 |          8 |          5 |         25 |
| app\View                                                                                                                          |          2 |         22 |          6 |          8 |         36 |
| app\View\Components                                                                                                               |          2 |         22 |          6 |          8 |         36 |
| bootstrap                                                                                                                         |          2 |         19 |          2 |          6 |         27 |
| config                                                                                                                            |         10 |        514 |        558 |        196 |      1,268 |
| database                                                                                                                          |          7 |        203 |         45 |         41 |        289 |
| database\factories                                                                                                                |          2 |         44 |         17 |          9 |         70 |
| database\migrations                                                                                                               |          4 |        143 |         24 |         26 |        193 |
| database\seeders                                                                                                                  |          1 |         16 |          4 |          6 |         26 |
| public                                                                                                                            |          1 |         10 |          4 |          7 |         21 |
| resources                                                                                                                         |         35 |      1,312 |          2 |        253 |      1,567 |
| resources\css                                                                                                                     |          1 |         29 |          0 |          3 |         32 |
| resources\js                                                                                                                      |          2 |          7 |          0 |          6 |         13 |
| resources\views                                                                                                                   |         32 |      1,276 |          2 |        244 |      1,522 |
| resources\views (Files)                                                                                                           |          2 |        359 |          0 |         58 |        417 |
| resources\views\auth                                                                                                              |          6 |        190 |          0 |         44 |        234 |
| resources\views\components                                                                                                        |         13 |        155 |          2 |         23 |        180 |
| resources\views\layouts                                                                                                           |          3 |        146 |          0 |         23 |        169 |
| resources\views\profile                                                                                                           |          4 |        166 |          0 |         34 |        200 |
| resources\views\profile (Files)                                                                                                   |          1 |         26 |          0 |          4 |         30 |
| resources\views\profile\partials                                                                                                  |          3 |        140 |          0 |         30 |        170 |
| resources\views\tareas                                                                                                            |          4 |        260 |          0 |         62 |        322 |
| routes                                                                                                                            |          3 |         70 |         10 |         33 |        113 |
| tests                                                                                                                             |         12 |        386 |         41 |        152 |        579 |
| tests (Files)                                                                                                                     |          2 |         18 |         32 |         12 |         62 |
| tests\Feature                                                                                                                     |          9 |        364 |          9 |        138 |        511 |
| tests\Feature (Files)                                                                                                             |          3 |        192 |          9 |         66 |        267 |
| tests\Feature\Auth                                                                                                                |          6 |        172 |          0 |         72 |        244 |
| tests\Unit                                                                                                                        |          1 |          4 |          0 |          2 |          6 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                          | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\README.md                                                                  | Markdown   |         39 |          0 |         21 |         60 |
| c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\AuthenticatedSessionController.php               | PHP        |         28 |          9 |         11 |         48 |
| c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\ConfirmablePasswordController.php                | PHP        |         28 |          6 |          7 |         41 |
| c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\EmailVerificationNotificationController.php      | PHP        |         16 |          3 |          6 |         25 |
| c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\EmailVerificationPromptController.php            | PHP        |         15 |          3 |          4 |         22 |
| c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\NewPasswordController.php                        | PHP        |         42 |         14 |          8 |         64 |
| c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\PasswordController.php                           | PHP        |         21 |          3 |          6 |         30 |
| c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\PasswordResetLinkController.php                  | PHP        |         28 |         11 |          7 |         46 |
| c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\app\Http\Controllers\Auth\RegisteredUserController.php                     | PHP        |         35 |          8 |          9 |         52 |
